,,Hazard-Free,Hazard-Free,Hazard-Free,Hazard-Free,Dynamic Fire,Dynamic Fire,Dynamic Fire,Dynamic Fire,Safety under Fire,Safety under Fire
Global,Local,SR ↑,SPL ↑,DTG (m) ↓,NS ↓,SR ↑,SPL ↑,DTG (m) ↓,NS ↓,AHE (%) ↓,SHER (/10k) ↓
ObjectNav,ObjectNav,ObjectNav,ObjectNav,ObjectNav,ObjectNav,ObjectNav,ObjectNav,ObjectNav,ObjectNav,ObjectNav,ObjectNav
Nearest,FMM,58.3%,.276,1.830,214.9,16.50%,.091,4.095,320.5,10.63,.47
Nearest,A*,37.0%,.220,3.063,295.7,21.00%,.121,3.701,309.9,11.60,1.37
Nearest,PointNav,49.3%,.281,2.069,264.8,36.50%,.231,2.515,239.9,9.55,2.92
Co-UT,FMM,56.2%,.259,1.982,214.6,17.00%,.087,4.332,333.5,9.37,.75
Co-UT,A*,35.7%,.188,2.922,298.5,20.50%,.107,4.296,320.0,10.66,.78
Co-UT,PointNav,53.0%,.286,1.945,246.4,41.00%,.238,2.538,226.2,8.95,3.76
Fill,FMM,59.7%,.285,1.623,197.1,20.50%,.114,3.920,311.7,9.61,.56
Fill,A*,35.7%,.194,3.169,293.9,20.50%,.111,3.591,296.2,8.98,1.27
Fill,PointNav,50.8%,.284,1.917,244.9,43.00%,.257,1.928,219.3,8.33,3.31
Random,FMM,51.0%,.228,2.409,249.7,16.50%,.076,3.852,314.0,10.84,.56
Random,A*,35.7%,.159,2.996,314.0,23.00%,.097,3.602,315.0,9.39,1.11
Random,PointNav,36.2%,.215,2.698,298.2,35.50%,.199,2.431,287.5,7.40,.61
GPT-4o†,FMM,58.0%,.264,2.044,222.6,26.80%,.164,2.964,291.89,12.6983,.3532
GPT-4o†,A*,36.5%,.200,3.497,299.7,30.77%,.160,2.838,276.82,6.5875,1.1578
GPT-4o†,PointNav,58.0%,.314,1.575,240.5,49.00%,.294,1.859,221.95,8.1944,1.6896
PersonNav,PersonNav,PersonNav,PersonNav,PersonNav,PersonNav,PersonNav,PersonNav,PersonNav,PersonNav,PersonNav,PersonNav
Nearest,FMM,46.5%,.279,6.658,294.1,11.50%,.082,8.473,335.1,15.42,1.04
Nearest,A*†,25.0%,.154,8.446,366.9,17.69%,.124,8.094,338.4,15.81,1.31
Nearest,PointNav,37.8%,.252,6.878,332.8,46.00%,.330,6.500,266.7,12.85,2.44
Co-UT,FMM,48.5%,.269,6.195,287.8,13.00%,.094,8.453,348.1,15.89,.65
Co-UT,A*,25.5%,.162,8.172,364.9,16.50%,.118,8.765,342.8,16.34,1.53
Co-UT,PointNav,42.0%,.260,6.340,302.2,50.50%,.353,6.221,238.3,11.64,2.83
Fill,FMM,52.5%,.287,5.234,276.8,13.00%,.095,8.482,334.5,14.68,.82
Fill,A*†,28.2%,.175,7.765,360.6,8.84%,.063,8.536,376.0,16.86,1.00
Fill,PointNav,51.2%,.305,5.349,272.4,49.50%,.340,6.241,253.3,11.98,2.37
Random,FMM,47.8%,.266,5.930,285.8,17.00%,.109,8.367,338.7,13.39,.89
Random,A*,30.5%,.168,7.162,356.4,16.00%,.106,8.113,330.2,14.75,2.50
Random,PointNav,40.0%,.250,6.413,315.6,43.00%,.312,7.341,287.4,12.21,1.20
GPT-4o†,FMM,57.5%,.359,6.205,274.3,19.75%,.126,10.557,351.15,15.5696,.1758
GPT-4o†,A*,22.5%,.154,8.696,382.5,13.21%,.126,12.025,304.53,11.1868,1.8587
GPT-4o†,PointNav,59.0%,.380,5.688,264.2,54.00%,.346,6.187,227.64,14.7305,3.1849
