Global Planner,Local Planner,SR ↑,SR ↑,SPL ↑,SPL ↑,DTG (m) ↓,DTG (m) ↓,NS ↓,NS ↓,AHE (%) ↓,AHE (%) ↓,SHER (/10k) ↓,SHER (/10k) ↓
Global Planner,Local Planner,Obj.,Per.,Obj.,Per.,Obj.,Per.,Obj.,Per.,Obj.,Per.,Obj.,Per.
Nearest,FMM,.420,.325,.178,.187,2.672,7.698,272.8,303.8,9.0355,13.1070,.3327,.8384
Nearest,A*,.447,.3871,.224,.240,2.486,7.421,258.0,273.8,9.8600,13.4385,1.0938,1.0688
Nearest,PointNav,.480,.385,.266,.255,2.317,7.066,258.9,299.3,8.1175,10.9225,2.3140,1.9885
Co-UT,FMM,.395,.370,.164,.224,2.958,7.597,282.4,307.1,7.9645,13.5065,.5519,.5105
Co-UT,A*,.429,.4219,.219,.266,2.574,7.227,235.6,275.0,9.0610,13.8890,.6652,1.2090
Co-UT,PointNav,.515,.405,.277,.247,2.273,6.986,247.4,289.3,7.6075,9.8940,2.9841,2.2709
Fill,FMM,.330,.320,.159,.175,2.773,7.843,260.7,313.5,8.1685,12.4780,.4795,.6193
Fill,A*,.448,.3802,.214,.243,2.343,7.639,250.8,292.0,7.6330,14.3310,1.0200,.8284
Fill,PointNav,.475,.410,.258,.252,2.048,6.585,242.5,281.1,7.0805,10.1830,2.6021,1.8895
Random,FMM,.350,.360,.153,.197,3.109,7.606,272.7,292.1,9.2140,11.3815,.4880,.6871
Random,A*,.397,.3593,.189,.209,3.028,7.304,257.5,273.4,7.9815,12.5375,.8755,1.9943
Random,PointNav,.385,.345,.224,.233,2.767,7.492,282.1,300.5,6.2900,10.3785,.4932,.9319
GPT-4o,FMM,.550,.535,.254,.336,2.136,6.640,229.53,281.99,10.7936,13.2342,.3268,.0887
GPT-4o,A*,.360,.215,.196,.151,3.567,9.029,305.69,390.15,5.5994,9.5088,.8996,1.4738
GPT-4o,PointNav,.570,.585,.312,.377,1.603,5.738,245.31,269.49,6.9652,12.5209,1.3249,2.5048
