# Agents,Global Planner,SR ↑,DTG (m) ↓,SPL ↑,NS ↓,AHE (%) ↓,SHER (/10k) ↓
1,Nearest,35.0%,3.200,0.145,292.4,9.71,0.34
1,Co-UT,34.0%,3.180,0.142,287.6,9.37,0.92
1,Fill,36.5%,2.940,0.155,278.2,10.83,1.52
1,Random,26.5%,3.800,0.126,329.0,10.20,2.30
1,Average,33.00%,3.280,0.142,296.8,10.03,1.27
2,Nearest,42.0%,2.672,0.178,272.8,10.82,0.92
2,Co-UT,39.5%,2.958,0.164,282.4,8.84,1.33
2,Fill,33.0%,2.773,0.159,260.7,9.62,2.21
2,Random,35.0%,3.109,0.153,272.7,9.58,2.93
2,Average,37.38%,2.878,0.164,272.1,9.71,1.84
3,Nearest,41.5%,2.449,0.215,241.4,10.32,1.31
3,Co-UT,46.5%,2.096,0.225,221.2,10.11,1.28
3,Fill,47.5%,2.006,0.233,227.7,9.54,1.61
3,Random,34.5%,2.802,0.155,259.0,9.77,1.80
3,Average,42.50%,2.338,0.207,237.3,9.93,1.51
4,Nearest,40.5%,2.647,0.206,236.5,8.72,1.37
4,Co-UT,46.0%,2.263,0.247,218.3,10.38,1.15
4,Fill,43.5%,2.204,0.221,237.9,10.15,1.05
4,Random,31.0%,2.860,0.151,257.5,10.35,1.80
4,Average,40.25%,2.493,0.206,237.5,9.90,1.36
